# Exported from the Chinese client item sheet on 2026-08-03.
# SeriesKey|JobKey|StageKey|Item.RowId|ItemName
# Elegant Weapons exported from the Chinese client item sheet on 2026-08-03.
elegant|pld|elegant-base|40090|改良型北极星刺
elegant|pld|elegant-base|40109|改良型舰盾
elegant|mnk|elegant-base|40091|改良型龙须拳
elegant|war|elegant-base|40096|改良型浴血被提
elegant|drg|elegant-base|40093|改良型黑狼
elegant|nin|elegant-base|40095|改良型忍者菜刀
elegant|sam|elegant-base|40098|改良型弦月玉兔
elegant|rpr|elegant-base|40097|改良型胜利属于人民
elegant|vpr|elegant-base|40099|改良型邪焰冥灯
elegant|drk|elegant-base|40094|改良型青鸟之巢
elegant|gnb|elegant-base|40100|改良型百合中的相遇
elegant|whm|elegant-base|40101|改良型仙女迷恋
elegant|sch|elegant-base|40106|改良型双月
elegant|ast|elegant-base|40103|改良型彼岸此岸
elegant|sge|elegant-base|40104|改良型灯火手杖
elegant|brd|elegant-base|40105|改良型刻耳柏洛斯之牙
elegant|mch|elegant-base|40107|改良型美丽的树枝
elegant|dnc|elegant-base|40102|改良型观星者
elegant|blm|elegant-base|40108|改良型化身之镰
elegant|smn|elegant-base|40476|绅魔法师的伞
elegant|rdm|elegant-base|40092|改良型碎石怒环
elegant|pct|elegant-base|43632|改良型索林之刃
elegant|pld|elegant-base|41679|北极星刺·优雅
elegant|pld|elegant-base|41698|舰盾·优雅
elegant|mnk|elegant-base|41680|龙须拳·优雅
elegant|war|elegant-base|41685|浴血被提·优雅
elegant|drg|elegant-base|41682|黑狼·优雅
elegant|nin|elegant-base|41684|忍者菜刀·优雅
elegant|sam|elegant-base|41687|弦月玉兔·优雅
elegant|rpr|elegant-base|41686|胜利属于人民·优雅
elegant|vpr|elegant-base|41688|邪焰冥灯·优雅
elegant|drk|elegant-base|41683|青鸟之巢·优雅
elegant|gnb|elegant-base|41689|百合中的相遇
elegant|whm|elegant-base|41690|仙女迷恋
elegant|sch|elegant-base|41695|双月·优雅
elegant|ast|elegant-base|41692|彼岸此岸·优雅
elegant|sge|elegant-base|41693|灯火手杖·优雅
elegant|brd|elegant-base|41694|刻耳柏洛斯之牙·优雅
elegant|mch|elegant-base|41696|美丽的树枝·优雅
elegant|dnc|elegant-base|41691|观星者·优雅
elegant|blm|elegant-base|41697|化身之镰·优雅
elegant|smn|elegant-base|41700|绅魔法师的伞·优雅
elegant|rdm|elegant-base|41681|碎石怒环·优雅
elegant|pct|elegant-base|44243|索林之刃·优雅
elegant|pld|elegant|41679|北极星刺·优雅
elegant|pld|elegant|41698|舰盾·优雅
elegant|mnk|elegant|41680|龙须拳·优雅
elegant|war|elegant|41685|浴血被提·优雅
elegant|drg|elegant|41682|黑狼·优雅
elegant|nin|elegant|41684|忍者菜刀·优雅
elegant|sam|elegant|41687|弦月玉兔·优雅
elegant|rpr|elegant|41686|胜利属于人民·优雅
elegant|vpr|elegant|41688|邪焰冥灯·优雅
elegant|drk|elegant|41683|青鸟之巢·优雅
elegant|gnb|elegant|41689|百合中的相遇·优雅
elegant|whm|elegant|41690|仙女迷恋·优雅
elegant|sch|elegant|41695|双月·优雅
elegant|ast|elegant|41692|彼岸此岸·优雅
elegant|sge|elegant|41693|灯火手杖·优雅
elegant|brd|elegant|41694|刻耳柏洛斯之牙·优雅
elegant|mch|elegant|41696|美丽的树枝·优雅
elegant|dnc|elegant|41691|观星者·优雅
elegant|blm|elegant|41697|化身之镰·优雅
elegant|smn|elegant|41700|绅魔法师的伞·优雅
elegant|rdm|elegant|41681|碎石怒环·优雅
elegant|pct|elegant|44243|索林之刃·优雅
zodiac|pld|zodiac-relic|1675|无锋剑柯塔纳
zodiac|pld|zodiac-relic|2306|神圣盾
zodiac|mnk|zodiac-relic|1746|释法来
zodiac|war|zodiac-relic|1816|勇悍斧
zodiac|drg|zodiac-relic|1885|穿心枪盖博尔格
zodiac|brd|zodiac-relic|1955|月神之弓
zodiac|whm|zodiac-relic|2052|酒神杖
zodiac|blm|zodiac-relic|2140|星尘杖
zodiac|smn|zodiac-relic|2213|绿瞳列传
zodiac|sch|zodiac-relic|2214|万辞全书
zodiac|nin|zodiac-relic|7888|吉光
zodiac|pld|zodiac-zenith|6257|无锋剑柯塔纳·天极
zodiac|pld|zodiac-zenith|6266|神圣盾·天极
zodiac|mnk|zodiac-zenith|6258|释法来·天极
zodiac|war|zodiac-zenith|6259|勇悍斧·天极
zodiac|drg|zodiac-zenith|6260|穿心枪盖博尔格·天极
zodiac|brd|zodiac-zenith|6261|月神之弓·天极
zodiac|whm|zodiac-zenith|6262|酒神杖·天极
zodiac|blm|zodiac-zenith|6263|星尘杖·天极
zodiac|smn|zodiac-zenith|6264|绿瞳列传·天极
zodiac|sch|zodiac-zenith|6265|万辞全书·天极
zodiac|nin|zodiac-zenith|9250|吉光·天极
zodiac|pld|zodiac-atma|7824|无锋剑柯塔纳·魂晶
zodiac|pld|zodiac-atma|7833|神圣盾·魂晶
zodiac|mnk|zodiac-atma|7825|释法来·魂晶
zodiac|war|zodiac-atma|7826|勇悍斧·魂晶
zodiac|drg|zodiac-atma|7827|穿心枪盖博尔格·魂晶
zodiac|brd|zodiac-atma|7828|月神之弓·魂晶
zodiac|whm|zodiac-atma|7829|酒神杖·魂晶
zodiac|blm|zodiac-atma|7830|星尘杖·魂晶
zodiac|smn|zodiac-atma|7831|绿瞳列传·魂晶
zodiac|sch|zodiac-atma|7832|万辞全书·魂晶
zodiac|nin|zodiac-atma|9251|吉光·魂晶
zodiac|pld|zodiac-animus|7834|无锋剑柯塔纳·魂灵
zodiac|pld|zodiac-animus|7843|神圣盾·魂灵
zodiac|mnk|zodiac-animus|7835|释法来·魂灵
zodiac|war|zodiac-animus|7836|勇悍斧·魂灵
zodiac|drg|zodiac-animus|7837|穿心枪盖博尔格·魂灵
zodiac|brd|zodiac-animus|7838|月神之弓·魂灵
zodiac|whm|zodiac-animus|7839|酒神杖·魂灵
zodiac|blm|zodiac-animus|7840|星尘杖·魂灵
zodiac|smn|zodiac-animus|7841|绿瞳列传·魂灵
zodiac|sch|zodiac-animus|7842|万辞全书·魂灵
zodiac|nin|zodiac-animus|9252|吉光·魂灵
zodiac|pld|zodiac-novus|7863|无锋剑柯塔纳·新星
zodiac|pld|zodiac-novus|7872|神圣盾·新星
zodiac|mnk|zodiac-novus|7864|释法来·新星
zodiac|war|zodiac-novus|7865|勇悍斧·新星
zodiac|drg|zodiac-novus|7866|穿心枪盖博尔格·新星
zodiac|brd|zodiac-novus|7867|月神之弓·新星
zodiac|whm|zodiac-novus|7868|酒神杖·新星
zodiac|blm|zodiac-novus|7869|星尘杖·新星
zodiac|smn|zodiac-novus|7870|绿瞳列传·新星
zodiac|sch|zodiac-novus|7871|万辞全书·新星
zodiac|nin|zodiac-novus|9253|吉光·新星
zodiac|pld|zodiac-nexus|8649|无锋剑柯塔纳·镇魂
zodiac|pld|zodiac-nexus|8658|神圣盾·镇魂
zodiac|mnk|zodiac-nexus|8650|释法来·镇魂
zodiac|war|zodiac-nexus|8651|勇悍斧·镇魂
zodiac|drg|zodiac-nexus|8652|穿心枪盖博尔格·镇魂
zodiac|brd|zodiac-nexus|8653|月神之弓·镇魂
zodiac|whm|zodiac-nexus|8654|酒神杖·镇魂
zodiac|blm|zodiac-nexus|8655|星尘杖·镇魂
zodiac|smn|zodiac-nexus|8656|绿瞳列传·镇魂
zodiac|sch|zodiac-nexus|8657|万辞全书·镇魂
zodiac|nin|zodiac-nexus|9254|吉光·镇魂
zodiac|pld|zodiac-zodiac|9491|王者之剑
zodiac|pld|zodiac-zodiac|9500|圣盾埃癸斯
zodiac|mnk|zodiac-zodiac|9492|凯撒裂爪
zodiac|war|zodiac-zodiac|9493|诸神黄昏斧
zodiac|drg|zodiac-zodiac|9494|圣枪朗基努斯
zodiac|brd|zodiac-zodiac|9495|与一之弓
zodiac|whm|zodiac-zodiac|9496|涅槃杖
zodiac|blm|zodiac-zodiac|9497|莉莉丝魔杖
zodiac|smn|zodiac-zodiac|9498|启示录
zodiac|sch|zodiac-zodiac|9499|最终宝典
zodiac|nin|zodiac-zodiac|9501|佐助之刀
zodiac|pld|zodiac-zeta|10054|王者之剑·本我
zodiac|pld|zodiac-zeta|12124|王者之剑·本我（复制品）
zodiac|pld|zodiac-zeta|10063|圣盾埃癸斯·本我
zodiac|pld|zodiac-zeta|12213|圣盾埃癸斯·本我（复制品）
zodiac|mnk|zodiac-zeta|10055|凯撒裂爪·本我
zodiac|mnk|zodiac-zeta|12133|凯撒裂爪·本我（复制品）
zodiac|war|zodiac-zeta|10056|诸神黄昏斧·本我
zodiac|war|zodiac-zeta|12142|诸神黄昏斧·本我（复制品）
zodiac|drg|zodiac-zeta|10057|圣枪朗基努斯·本我
zodiac|drg|zodiac-zeta|12151|圣枪朗基努斯·本我（复制品）
zodiac|brd|zodiac-zeta|10058|与一之弓·本我
zodiac|brd|zodiac-zeta|12160|与一之弓·本我（复制品）
zodiac|whm|zodiac-zeta|10059|涅槃杖·本我
zodiac|whm|zodiac-zeta|12178|涅槃杖·本我（复制品）
zodiac|blm|zodiac-zeta|10060|莉莉丝魔杖·本我
zodiac|blm|zodiac-zeta|12187|莉莉丝魔杖·本我（复制品）
zodiac|smn|zodiac-zeta|10061|启示录·本我
zodiac|smn|zodiac-zeta|12196|启示录·本我（复制品）
zodiac|sch|zodiac-zeta|10062|最终宝典·本我
zodiac|sch|zodiac-zeta|12205|最终宝典·本我（复制品）
zodiac|nin|zodiac-zeta|10064|佐助之刀·本我
zodiac|nin|zodiac-zeta|12169|佐助之刀·本我（复制品）
anima|pld|anima-animated|13611|高洁之剑·元灵
anima|pld|anima-animated|13624|圣女盾·元灵
anima|war|anima-animated|13613|罗摩斧·元灵
anima|drk|anima-animated|13617|死亡使者·元灵
anima|whm|anima-animated|13619|炽天使杖·元灵
anima|sch|anima-animated|13622|几何原本·元灵
anima|ast|anima-animated|13623|天宇星象·元灵
anima|mnk|anima-animated|13612|旭日·元灵
anima|drg|anima-animated|13614|贯雷枪布里欧纳克·元灵
anima|nin|anima-animated|13616|不动行光·元灵
anima|brd|anima-animated|13615|拨铃波琴弓·元灵
