Sheet,Row,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
3.0 元灵,1,,骑士,战士,黑骑,白魔,学者,占星,武僧,龙骑,忍者,诗人,机工,黑魔,召唤,,,,,,,,
3.0 元灵,2,元灵武器（iLvl170）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,
3.0 元灵,3,元灵武器・觉醒（iLvl200）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,
3.0 元灵,4,新元灵武器（iLvl210）,全能之骑士,天雷之战士,诺统之暗黑骑士,天威之白魔法师,星象之学者,天津之占星术士,军神之武僧,先锋之龙骑士,神无之忍者,甘狄之吟游诗人,末日之机工士,无尽之黑魔法师,巨龙之召唤师,,,,,,,,
3.0 元灵,5,元灵武器・超导（iLvl230）,全能之骑士・超导,天雷之战士・超导,诺统之暗黑骑士・超导,天威之白魔法师・超导,星象之学者・超导,天津之占星术士・超导,军神之武僧・超导,先锋之龙骑士・超导,神无之忍者・超导,甘狄之吟游诗人・超导,末日之机工士・超导,无尽之黑魔法师・超导,巨龙之召唤师・超导,,,,,,,,
3.0 元灵,6,百炼成钢的元灵武器（iLvl240）,领主之骑士,皇帝之战士,暴君之暗黑骑士,沙皇之白魔法师,巨擘之学者,王储之占星术士,苏丹之武僧,霸王之龙骑士,亲王之忍者,帝王之吟游诗人,君主之机工士,可汗之黑魔法师,女王之召唤师,,,,,,,,
3.0 元灵,7,元灵武器・灵慧（iLvl260）,领主之骑士・灵慧,皇帝之战士・灵慧,暴君之暗黑骑士・灵慧,沙皇之白魔法师・灵慧,巨擘之学者・灵慧,王储之占星术士・灵慧,苏丹之武僧・灵慧,霸王之龙骑士・灵慧,亲王之忍者・灵慧,帝王之吟游诗人・灵慧,君主之机工士・灵慧,可汗之黑魔法师・灵慧,女王之召唤师・灵慧,,,,,,,,
3.0 元灵,8,真元灵武器（iLvl270）,血族之骑士,主宰之战士,神王之暗黑骑士,闪烁之白魔法师,远征之学者,寿老之占星术士,铁腕之武僧,屠戮之龙骑士,藏骨之忍者,典乐之诗人,死锁之机工士,死命之黑魔法师,摹仿之召唤师,,,,,,,,
3.0 元灵,9,真元灵武器・灵光（iLvl275）,血族之骑士・灵光,主宰之战士・灵光,神王之暗黑骑士・灵光,闪烁之白魔法师・灵光,远征之学者・灵光,寿老之占星术士・灵光,铁腕之武僧・灵光,屠戮之龙骑士・灵光,藏骨之忍者・灵光,典乐之诗人・灵光,死锁之机工士・灵光,死命之黑魔法师・灵光,摹仿之召唤师・灵光,,,,,,,,
4.0 ulk,1,,骑士,战士,黑骑,白魔,学者,占星,武僧,武士,龙骑,忍者,诗人,机工,黑魔,召唤,赤魔,,,,,,
4.0 ulk,2,禁地兵装・常风(355),侠义之骑士・常风,伐煞之战士・常风,裂斩之暗黑骑士・常风,驱除之白魔法师・常风,神工之学者・常风,昴宿之占星术士・常风,善见之武僧・常风,明珍之武士・常风,真血之龙骑士・常风,息风之忍者・常风,必中之吟游诗人・常风,异乡之机工士・常风,破坏之黑魔法师・常风,魔神之召唤师・常风,死印之赤魔法师・常风,,,,,,
4.0 ulk,3,禁地兵装・元素(370),元素之骑士,元素之战士,元素之暗黑骑士,元素之白魔法师,元素之学者,元素之占星术士,元素之武僧,元素之武士,元素之龙骑士,元素之忍者,元素之吟游诗人,元素之机工士,元素之黑魔法师,元素之召唤师,元素之赤魔法师,,,,,,
4.0 ulk,4,禁地兵装・涌火(385),涌火之骑士,涌火之战士,涌火之暗黑骑士,涌火之白魔法师,涌火之学者,涌火之占星术士,涌火之武僧,涌火之武士,涌火之龙骑士,涌火之忍者,涌火之吟游诗人,涌火之机工士,涌火之黑魔法师,涌火之召唤师,涌火之赤魔法师,,,,,,
4.0 ulk,5,禁地兵装最终形态(405),勇武之骑士・优雷卡,光芒之战士・优雷卡,穿刺之暗黑骑士・优雷卡,谦逊之白魔法师・优雷卡,重生之学者・优雷卡,牛宿之占星术士・优雷卡,丰饶之武僧・优雷卡,威严之武士・优雷卡,猛毒之龙骑士・优雷卡,轻身之忍者・优雷卡,锐眼之吟游诗人・优雷卡,自由之机工师・优雷卡,复仇之黑魔法师・优雷卡,闪耀之召唤师・优雷卡,巅峰之赤魔法师・优雷卡,,,,,,
4.0 ulk,6,禁地兵装・改装(405),无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,
5.0 义军,1,,骑士,战士,黑骑,绝枪,白魔,学者,占星,武僧,龙骑,武士,忍者,诗人,机工,舞者,黑魔,召唤,赤魔,,,,
5.0 义军,2,义军武器（iLvl485）,义军之骑士,义军之战士,义军之暗黑骑士,义军之绝枪战士,义军之白魔法师,义军之学者,义军之占星术士,义军之武僧,义军之龙骑士,义军之武士,义军之忍者,义军之吟游诗人,义军之机工士,义军之舞者,义军之黑魔法师,义军之召唤师,义军之赤魔法师,,,,
5.0 义军,3,义军武器+1（iLvl500）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,
5.0 义军,4,义军武器・回忆（iLvl500）,义军之骑士・回忆,义军之战士・回忆,义军之暗黑骑士・回忆,义军之绝枪战士・回忆,义军之白魔法师・回忆,义军之学者・回忆,义军之占星术士・回忆,义军之武僧・回忆,义军之龙骑士・回忆,义军之武士・回忆,义军之忍者・回忆,义军之吟游诗人・回忆,义军之机工士・回忆,义军之舞者・回忆,义军之黑魔法师・回忆,义军之召唤师・回忆,义军之赤魔法师・回忆,,,,
5.0 义军,5,义军武器・裁决（iLvl510）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,
5.0 义军,6,义军武器・裁决+1（iLvl515）,进化的义军之骑士・裁决,进化的义军之战士・裁决,进化的义军之暗黑骑士・裁决,进化的义军之绝枪战士・裁决,进化的义军之白魔法师・裁决,进化的义军之学者・裁决,进化的义军之占星术士・裁决,进化的义军之武僧・裁决,进化的义军之龙骑士・裁决,进化的义军之武士・裁决,进化的义军之忍者・裁决,进化的义军之吟游诗人・裁决,进化的义军之机工士・裁决,进化的义军之舞者・裁决,进化的义军之黑魔法师・裁决,进化的义军之召唤师・裁决,进化的义军之赤魔法师・裁决,,,,
5.0 义军,7,义军武器・女王（iLvl535）,女王麾下之骑士,女王麾下之战士,女王麾下之暗黑骑士,女王麾下之绝枪战士,女王麾下之白魔法师,女王麾下之学者,女王麾下之占星术士,女王麾下之武僧,女王麾下之龙骑士,女王麾下之武士,女王麾下之忍者,女王麾下之吟游诗人,女王麾下之机工士,女王麾下之舞者,女王麾下之黑魔法师,女王麾下之召唤师,女王麾下之赤魔法师,,,,
6.0 曼德维尔,1,,骑士,战士,黑骑,绝枪,白魔,学者,占星,贤者,武僧,龙骑,镰刀,武士,忍者,诗人,机工,舞者,黑魔,召唤,赤魔,,
6.0 曼德维尔,2,曼德维尔武器（iLvl615）,曼德维尔之骑士,曼德维尔之战士,曼德维尔之暗黑骑士,曼德维尔之绝枪战士,曼德维尔之白魔法师,曼德维尔之学者,曼德维尔之占星术士,曼德维尔之贤者,曼德维尔之武僧,曼德维尔之龙骑士,曼德维尔之钐镰客,曼德维尔之武士,曼德维尔之忍者,曼德维尔之吟游诗人,曼德维尔之机工士,曼德维尔之舞者,曼德维尔之黑魔法师,曼德维尔之召唤师,曼德维尔之赤魔法师,,
6.0 曼德维尔,3,曼德维尔武器・惊异（iLvl630）,曼德维尔之骑士・惊异,曼德维尔之战士・惊异,曼德维尔之暗黑骑士・惊异,曼德维尔之绝枪战士・惊异,曼德维尔之白魔法师・惊异,曼德维尔之学者・惊异,曼德维尔之占星术士・惊异,曼德维尔之贤者・惊异,曼德维尔之武僧・惊异,曼德维尔之龙骑士・惊异,曼德维尔之钐镰客・惊异,曼德维尔之武士・惊异,曼德维尔之忍者・惊异,曼德维尔之吟游诗人・惊异,曼德维尔之机工士・惊异,曼德维尔之舞者・惊异,曼德维尔之黑魔法师・惊异,曼德维尔之召唤师・惊异,曼德维尔之赤魔法师・惊异,,
6.0 曼德维尔,4,曼德维尔武器・威严（iLvl645）,曼德维尔之骑士・威严,曼德维尔之战士・威严,曼德维尔之暗黑骑士・威严,曼德维尔之绝枪战士・威严,曼德维尔之白魔法师・威严,曼德维尔之学者・威严,曼德维尔之占星术士・威严,曼德维尔之贤者・威严,曼德维尔之武僧・威严,曼德维尔之龙骑士・威严,曼德维尔之钐镰客・威严,曼德维尔之武士・威严,曼德维尔之忍者・威严,曼德维尔之吟游诗人・威严,曼德维尔之机工士・威严,曼德维尔之舞者・威严,曼德维尔之黑魔法师・威严,曼德维尔之召唤师・威严,曼德维尔之赤魔法师・威严,,
6.0 曼德维尔,5,曼德维尔武器・盈满（iLvl665）,曼德维尔之骑士・盈满,曼德维尔之战士・盈满,曼德维尔之暗黑骑士・盈满,曼德维尔之绝枪战士・盈满,曼德维尔之白魔法师・盈满,曼德维尔之学者・盈满,曼德维尔之占星术士・盈满,曼德维尔之贤者・盈满,曼德维尔之武僧・盈满,曼德维尔之龙骑士・盈满,曼德维尔之钐镰客・盈满,曼德维尔之武士・盈满,曼德维尔之忍者・盈满,曼德维尔之吟游诗人・盈满,曼德维尔之机工士・盈满,曼德维尔之舞者・盈满,曼德维尔之黑魔法师・盈满,曼德维尔之召唤师・盈满,曼德维尔之赤魔法师・盈满,,
7.0 幻境,1,,骑士,战士,黑骑,绝枪,白魔,学者,占星,贤者,武僧,龙骑,镰刀,武士,忍者,蛇剑,诗人,机工,舞者,黑魔,召唤,赤魔,画家
7.0 幻境,2,半影（iLvl745）,幻境之骑士・半影,幻境之战士・半影,幻境之暗黑骑士・半影,幻境之绝枪战士・半影,幻境之白魔法师・半影,幻境之学者・半影,幻境之占星术士・半影,幻境之贤者・半影,幻境之武僧・半影,幻境之龙骑士・半影,幻境之钐镰客・半影,幻境之武士・半影,幻境之忍者・半影,幻境之蝰蛇剑士・半影,幻境之吟游诗人・半影,幻境之机工士・半影,幻境之舞者・半影,幻境之黑魔法师・半影,幻境之召唤师・半影,幻境之赤魔法师・半影,幻境之绘灵法师・半影
7.0 幻境,3,本影（iLvl760）,幻境之骑士・本影,幻境之战士・本影,幻境之暗黑骑士・本影,幻境之绝枪战士・本影,幻境之白魔法师・本影,幻境之学者・本影,幻境之占星术士・本影,幻境之贤者・本影,幻境之武僧・本影,幻境之龙骑士・本影,幻境之钐镰客・本影,幻境之武士・本影,幻境之忍者・本影,幻境之蝰蛇剑士・本影,幻境之吟游诗人・本影,幻境之机工士・本影,幻境之舞者・本影,幻境之黑魔法师・本影,幻境之召唤师・本影,幻境之赤魔法师・本影,幻境之绘灵法师・本影
7.0 幻境,4,黯影（iLvl775）,幻境之骑士・黯影,幻境之战士・黯影,幻境之暗黑骑士・黯影,幻境之绝枪战士・黯影,幻境之白魔法师・黯影,幻境之学者・黯影,幻境之占星术士・黯影,幻境之贤者・黯影,幻境之武僧・黯影,幻境之龙骑士・黯影,幻境之钐镰客・黯影,幻境之武士・黯影,幻境之忍者・黯影,幻境之蝰蛇剑士・黯影,幻境之吟游诗人・黯影,幻境之机工士・黯影,幻境之舞者・黯影,幻境之黑魔法师・黯影,幻境之召唤师・黯影,幻境之赤魔法师・黯影,幻境之绘灵法师・黯影
7.0 幻境,5,蚀影（iLvl790）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就
7.0 幻境,6,秘影（iLvl795）,幻境之骑士・秘影,幻境之战士・秘影,幻境之暗黑骑士・秘影,幻境之绝枪战士・秘影,幻境之白魔法师・秘影,幻境之学者・秘影,幻境之占星术士・秘影,幻境之贤者・秘影,幻境之武僧・秘影,幻境之龙骑士・秘影,幻境之钐镰客・秘影,幻境之武士・秘影,幻境之忍者・秘影,幻境之蝰蛇剑士・秘影,幻境之吟游诗人・秘影,幻境之机工士・秘影,幻境之舞者・秘影,幻境之黑魔法师・秘影,幻境之召唤师・秘影,幻境之赤魔法师・秘影,幻境之绘灵法师・秘影
5.0 天钢,1,,刻木,锻铁,铸甲,雕金,制革,裁衣,炼金,烹调,采矿,园艺,捕鱼,,,,,,,,,,
5.0 天钢,2,天钢工具（iLvl 440）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
5.0 天钢,3,天钢工具 + 1（iLvl 455）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
5.0 天钢,4,龙诗工具（iLvl 475）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
5.0 天钢,5,改良型龙诗工具（iLvl 485）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
5.0 天钢,6,天诗工具（iLvl 500）,天钢工具：天诗手锯,天钢工具：天诗横头锤,天钢工具：天诗圆头锤,天钢工具：天诗工艺锤,天钢工具：天诗圆革刀,天钢工具：天诗缝针,天钢工具：天诗蒸馏器,天钢工具：天诗煎锅,天钢工具：天诗鹤嘴锄,天钢工具：天诗手斧,天钢工具：天诗钓竿,,,,,,,,,,
5.0 天钢,7,天工工具（iLvl 510）,天钢工具：天工手锯,天钢工具：天工横头锤,天钢工具：天工圆头锤,天钢工具：天工工艺锤,天钢工具：天工圆革刀,天钢工具：天工缝针,天钢工具：天工蒸馏器,天钢工具：天工煎锅,天钢工具：天工鹤嘴锄,天钢工具：天工手斧,天钢工具：天工钓竿,,,,,,,,,,
6.0 卓越,1,,刻木,锻铁,铸甲,雕金,制革,裁衣,炼金,烹调,采矿,园艺,捕鱼,,,,,,,,,,
6.0 卓越,2,卓越工具（iLvl 570）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
6.0 卓越,3,改良型卓越工具（iLvl 590）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
6.0 卓越,4,水晶工具（iLvl 620）,莫雯卓越工具：水晶手锯,莫雯卓越工具：水晶横头锤,莫雯卓越工具：水晶圆头锤,莫雯卓越工具：水晶工艺锤,莫雯卓越工具：水晶圆革刀,莫雯卓越工具：水晶缝针,莫雯卓越工具：水晶蒸馏器,莫雯卓越工具：水晶煎锅,莫雯卓越工具：水晶鹤嘴锄,莫雯卓越工具：水晶手斧,莫雯卓越工具：水晶钓竿,,,,,,,,,,
6.0 卓越,5,乔菈水晶工具（iLvl 625）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
6.0 卓越,6,乔菈卓绝工具（iLvl 630）,莫雯卓越工具：乔菈卓绝手锯,莫雯卓越工具：乔菈卓绝横头锤,莫雯卓越工具：乔菈卓绝圆头锤,莫雯卓越工具：乔菈卓绝工艺锤,莫雯卓越工具：乔菈卓绝圆革刀,莫雯卓越工具：乔菈卓绝缝针,莫雯卓越工具：乔菈卓绝蒸馏器,莫雯卓越工具：乔菈卓绝煎锅,莫雯卓越工具：乔菈卓绝鹤嘴锄,莫雯卓越工具：乔菈卓绝手斧,莫雯卓越工具：乔菈卓绝钓竿,,,,,,,,,,
6.0 卓越,7,诺弗兰特远见工具（iLvl 635）,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,无对应成就,,,,,,,,,,
6.0 卓越,8,领航星工具（iLvl 640）,莫雯卓越工具：领航星手锯,莫雯卓越工具：领航星横头锤,莫雯卓越工具：领航星圆头锤,莫雯卓越工具：领航星工艺锤,莫雯卓越工具：领航星圆革刀,莫雯卓越工具：领航星缝针,莫雯卓越工具：领航星蒸馏器,莫雯卓越工具：领航星平底锅,莫雯卓越工具：领航星鹤嘴锄,莫雯卓越工具：领航星手斧,莫雯卓越工具：领航星钓竿,,,,,,,,,,
7.0 宇宙,1,,刻木,锻铁,铸甲,雕金,制革,裁衣,炼金,烹调,采矿,园艺,捕鱼,,,,,,,,,,
7.0 宇宙,2,宇宙工具（iLvl 720）,宇宙工具：宇宙手锯,宇宙工具：宇宙横头锤,宇宙工具：宇宙圆头锤,宇宙工具：宇宙工艺锤,宇宙工具：宇宙圆革刀,宇宙工具：宇宙缝针,宇宙工具：宇宙蒸馏器,宇宙工具：宇宙煎锅,宇宙工具：宇宙鹤嘴锄,宇宙工具：宇宙手斧,宇宙工具：宇宙钓竿,,,,,,,,,,
7.0 宇宙,3,太空工具（iLvl 750）,宇宙工具：太空手锯,宇宙工具：太空横头锤,宇宙工具：太空圆头锤,宇宙工具：太空工艺锤,宇宙工具：太空圆革刀,宇宙工具：太空缝针,宇宙工具：太空蒸馏器,宇宙工具：太空煎锅,宇宙工具：太空鹤嘴锄,宇宙工具：太空手斧,宇宙工具：太空钓竿,,,,,,,,,,
7.0 宇宙,4,超空间工具（iLvl 765）,宇宙工具：超空间手锯,宇宙工具：超空间横头锤,宇宙工具：超空间圆头锤,宇宙工具：超空间工艺锤,宇宙工具：超空间圆革刀,宇宙工具：超空间缝针,宇宙工具：超空间蒸馏器,宇宙工具：超空间煎锅,宇宙工具：超空间鹤嘴锄,宇宙工具：超空间手斧,宇宙工具：超空间钓竿,,,,,,,,,,
7.0 宇宙,5,群星工具（iLvl 780）,宇宙工具：群星手锯,宇宙工具：群星横头锤,宇宙工具：群星圆头锤,宇宙工具：群星工艺锤,宇宙工具：群星圆革刀,宇宙工具：群星缝针,宇宙工具：群星蒸馏器,宇宙工具：群星煎锅,宇宙工具：群星鹤嘴锄,宇宙工具：群星手斧,宇宙工具：群星钓竿,,,,,,,,,,
