职业,职业Key,基础阶段,基础武器,优雅阶段,优雅武器
骑士,pld,基础武器,"改良型北极星刺、改良型舰盾",优雅,"北极星刺·优雅、舰盾·优雅"
武僧,mnk,基础武器,改良型龙须拳,优雅,龙须拳·优雅
战士,war,基础武器,改良型碎石怒环,优雅,碎石怒环·优雅
龙骑士,drg,基础武器,改良型黑狼,优雅,黑狼·优雅
忍者,nin,基础武器,改良型忍者菜刀,优雅,忍者菜刀·优雅
武士,sam,基础武器,改良型彼岸此岸,优雅,彼岸此岸·优雅
钐镰客,rpr,基础武器,改良型化身之镰,优雅,化身之镰·优雅
蝰蛇剑士,vpr,基础武器,改良型索林之刃,优雅,索林之刃·优雅
暗黑骑士,drk,基础武器,改良型浴血被提,优雅,浴血被提·优雅
绝枪战士,gnb,基础武器,改良型刻耳柏洛斯之牙,优雅,刻耳柏洛斯之牙·优雅
白魔法师,whm,基础武器,改良型弦月玉兔,优雅,弦月玉兔·优雅
学者,sch,基础武器,改良型仙女迷恋,优雅,仙女迷恋·优雅
占星术士,ast,基础武器,改良型观星者,优雅,观星者·优雅
贤者,sge,基础武器,改良型美丽的树枝,优雅,美丽的树枝·优雅
吟游诗人,brd,基础武器,改良型青鸟之巢,优雅,青鸟之巢·优雅
机工士,mch,基础武器,改良型胜利属于人民,优雅,胜利属于人民·优雅
舞者,dnc,基础武器,改良型双月,优雅,双月·优雅
黑魔法师,blm,基础武器,改良型邪焰冥灯,优雅,邪焰冥灯·优雅
召唤师,smn,基础武器,改良型百合中的相遇,优雅,百合中的相遇·优雅
赤魔法师,rdm,基础武器,改良型灯火手杖,优雅,灯火手杖·优雅
绘灵法师,pct,基础武器,改良型文艺复兴之笔,优雅,文艺复兴之笔·优雅
青魔法师,blu,基础武器,绅魔法师的伞,优雅,绅魔法师的伞·优雅
